Name,Mean SNP born,Std SNP born,Mean Exploded SN,Std Exploded SN,Mean Exploded SN 1 Myr,Std Exploded SN 1 Myr,Mean Stars Still Existing,Std Stars Still Existing
Sco-Cen: US,3.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0
Sco-Cen: UCL,6.0,2.0,1.0,1.0,0.0,0.0,5.0,2.0
Sco-Cen: LCC,5.0,2.0,1.0,1.0,0.0,0.0,4.0,2.0
Ori OB1a,22.0,5.0,2.0,2.0,0.0,1.0,20.0,4.0
Ori OB1b,12.0,3.0,0.0,1.0,0.0,0.0,12.0,3.0
Ori OB1c,23.0,5.0,0.0,0.0,0.0,0.0,23.0,5.0
Ori OB1d,6.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0
Vela OB2,10.0,3.0,1.0,1.0,0.0,0.0,9.0,3.0
Trumpler 10,4.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0
Cyg A,20.0,4.0,3.0,2.0,0.0,1.0,17.0,4.0
Cyg B,15.0,4.0,1.0,1.0,0.0,0.0,14.0,3.0
Cyg C,14.0,3.0,1.0,1.0,0.0,0.0,13.0,3.0
Cyg D,14.0,4.0,4.0,2.0,0.0,1.0,10.0,3.0
Cyg E,21.0,4.0,1.0,1.0,0.0,1.0,20.0,4.0
Cyg F,24.0,5.0,2.0,2.0,0.0,1.0,22.0,4.0
Cyg OB7,100.0,36.0,13.0,6.0,2.0,2.0,87.0,31.0
Aur 1,33.0,6.0,11.0,3.0,1.0,1.0,22.0,4.0
Aur 3,17.0,4.0,2.0,1.0,0.0,1.0,15.0,4.0
Aur 4,20.0,4.0,0.0,0.0,0.0,0.0,20.0,4.0
Ara OB1,54.0,15.0,0.0,0.0,0.0,0.0,54.0,15.0
Per OB2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Car OB1,45.0,6.0,1.0,1.0,0.0,1.0,44.0,6.0
CMa OB1,15.0,4.0,1.0,1.0,0.0,0.0,14.0,3.0
Mon OB1,4.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0
Mon OB2,69.0,17.0,1.0,1.0,1.0,1.0,68.0,17.0
Sco OB1,157.0,27.0,4.0,2.0,2.0,1.0,153.0,26.0
Lac OB1,6.0,2.0,0.0,1.0,0.0,0.0,6.0,2.0
Sct OB2,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
Ser OB2,17.0,4.0,0.0,0.0,0.0,0.0,17.0,4.0
Ser OB1,106.0,21.0,2.0,1.0,1.0,1.0,104.0,21.0
